Ministry,Department,Item,Value
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,100000
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,105000
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,165000
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,182633
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,284589
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,2760414
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,175000
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,485000
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,150000
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,100000
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,224385
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,388000
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,120000
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,715000
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,1189977
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,255200
Canadian Heritage,Canadian Heritage,Contributions to support of the Youth Take Charge Program,175000
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,265000
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,659000
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,100000
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,1171500
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,100000
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,180000
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,164500
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,3449268
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,6474391
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,1562500
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,1826551
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,3282850
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,1475000
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,19996444
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,2472885
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,400000
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,3010800
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,47828973
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,6441844
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,133500
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,7511572
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,6096725
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,906250
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,3447382
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,61713678
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,9020749
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,513525
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,780000
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,120120
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,105917
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,128000
Canadian Heritage,Canadian Heritage,Contributions to support the Enhancement of Official Languages Program,303760
Canadian Heritage,Canadian Heritage,Contributions to support the Enhancement of Official Languages Program,174330
Canadian Heritage,Canadian Heritage,Contributions to support the Enhancement of Official Languages Program,147065
Canadian Heritage,Canadian Heritage,Contributions to support the Enhancement of Official Languages Program,147630
Canadian Heritage,Canadian Heritage,Contributions to support the Enhancement of Official Languages Program,294450
Canadian Heritage,Canadian Heritage,Contributions to support the Enhancement of Official Languages Program,907750
Canadian Heritage,Canadian Heritage,Contributions to support the Enhancement of Official Languages Program,112200
Canadian Heritage,Canadian Heritage,Contributions to support the Enhancement of Official Languages Program,149330
Canadian Heritage,Canadian Heritage,Contributions to support the Enhancement of Official Languages Program,136710
Canadian Heritage,Canadian Heritage,Contributions to support the Enhancement of Official Languages Program,100000
Canadian Heritage,Canadian Heritage,Contributions to support the Enhancement of Official Languages Program,240306
Canadian Heritage,Canadian Heritage,Contributions to support the Enhancement of Official Languages Program,205948
Canadian Heritage,Canadian Heritage,Contributions to support the Enhancement of Official Languages Program,320920
Canadian Heritage,Canadian Heritage,Contributions to support the Enhancement of Official Languages Program,20792992
Canadian Heritage,Canadian Heritage,Contributions to support the Enhancement of Official Languages Program,541250
Canadian Heritage,Canadian Heritage,Contributions to support the Enhancement of Official Languages Program,298542
Canadian Heritage,Canadian Heritage,Contributions to support the Enhancement of Official Languages Program,4369526
Canadian Heritage,Canadian Heritage,Contributions to support the Enhancement of Official Languages Program,9531434
Canadian Heritage,Canadian Heritage,Contributions to support the Enhancement of Official Languages Program,1204705
Canadian Heritage,Canadian Heritage,Contributions to support the Enhancement of Official Languages Program,5503248
Canadian Heritage,Canadian Heritage,Contributions to support the Enhancement of Official Languages Program,474746
Canadian Heritage,Canadian Heritage,Contributions to support the Enhancement of Official Languages Program,1049100
Canadian Heritage,Canadian Heritage,Contributions to support the Enhancement of Official Languages Program,100000
Canadian Heritage,Canadian Heritage,Contributions to support the Enhancement of Official Languages Program,550000
Canadian Heritage,Canadian Heritage,Contributions to support the Enhancement of Official Languages Program,18406662
Canadian Heritage,Canadian Heritage,Contributions to support the Enhancement of Official Languages Program,575171
Canadian Heritage,Canadian Heritage,Contributions to support the Enhancement of Official Languages Program,10367846
Canadian Heritage,Canadian Heritage,Contributions to support the Enhancement of Official Languages Program,3761355
Canadian Heritage,Canadian Heritage,Contributions to support the Enhancement of Official Languages Program,1076602
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,565000
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,117000
